dataset,Model,Normalization method,R2 Score,CPT KL Divergence,CPT JS Divergence,Number of Parents,entropy,predicted_entropy,BN KL Divergence
adversarialbehavior,gpt-4o,Raw,-0.6220338983050846,0.6063330727775147,0.17684334282445102,2,0.3673877953948086,0.654725209009241,-1.0
adversarialbehavior,gpt-4o,Normalized,-0.5209371332679045,0.7054904371039776,0.16713719209720626,2,0.3673877953948086,0.686385587617656,2.465925583289361
agropastoral2,gpt-4o,Raw,-8.564644694442869,-0.0773032224018802,0.019157305509195272,2,0.9872021966280995,0.9370326766092505,
agropastoral2,gpt-4o,Normalized,-5.940701349006212,0.062458719951255404,0.015454488399605781,2,0.9872021966280995,0.9656361333706098,
agropastoral2,gpt-4o,Raw,-0.42926476711207484,0.2546005078832717,0.2141297489879618,3,0.47683545987490206,0.9277266025102493,
agropastoral2,gpt-4o,Normalized,-0.1242263554717542,0.6148041802521561,0.16689109538606958,3,0.47683545987490206,0.8827468891231,
agropastoral2,gpt-4o,Raw,0.07674312461638921,-0.17151795160298158,0.2030914381819072,5,0.4104169297997393,0.7574445840952387,-1.0
agropastoral2,gpt-4o,Normalized,0.46008030495637875,0.4096998196769246,0.12072692118574706,5,0.4104169297997393,0.6409436882814867,4.777830122100016
agropastoral3,gpt-4o,Raw,-1.8582969367631543,0.5838513802771939,0.16102726263582923,2,0.6654237508323884,0.8462845118449127,
agropastoral3,gpt-4o,Normalized,-1.7427022416034204,0.6326415439291628,0.157073510628989,2,0.6654237508323884,0.863120568566631,
agropastoral3,gpt-4o,Raw,-0.46511361193949763,0.31370641857912707,0.21087121557298372,3,0.4930901446809224,0.907795198957864,
agropastoral3,gpt-4o,Normalized,-0.1580155400499823,0.6358081489121364,0.16710096294498164,3,0.4930901446809224,0.870365748654508,
agropastoral3,gpt-4o,Raw,0.060301291837806636,0.30480066493673397,0.17763152727696618,5,0.4839243362005122,0.7860123799462586,-1.0
agropastoral3,gpt-4o,Normalized,0.12419264293587617,0.5475545750733628,0.15486970146537668,5,0.4839243362005122,0.6980688256588531,5.412239058981075
agropastoral4,gpt-4o,Raw,-0.10505242195440667,0.18987232645491056,0.08474227819259947,2,0.6008808424806263,0.9050381399019086,
agropastoral4,gpt-4o,Normalized,-0.03451614109057877,0.28456895803442434,0.07752326406409864,2,0.6008808424806263,0.927266416972427,
