Class,Sex,Age,Survived,Freq
1st,male,child,no,0.0
3rd,female,adult,no,89.0
1st,male,child,yes,5.0
3rd,male,child,yes,13.0
crew,male,child,yes,0.0
2nd,female,adult,no,13.0
2nd,female,child,yes,13.0
crew,male,adult,yes,192.0
3rd,female,child,no,17.0
3rd,female,child,yes,14.0
crew,female,adult,yes,20.0
crew,female,adult,no,3.0
2nd,male,child,no,0.0
2nd,male,adult,yes,14.0
3rd,male,child,no,35.0
1st,female,adult,yes,140.0
1st,male,adult,no,118.0
crew,male,adult,no,670.0
2nd,female,child,no,0.0
1st,female,child,no,0.0
3rd,male,adult,yes,75.0
3rd,female,adult,yes,76.0
1st,male,adult,yes,57.0
2nd,female,adult,yes,80.0
2nd,male,adult,no,154.0
